traditional,simplified,pinyin,jyutping,definition
賞罰分明,赏罚分明,shang3 fa2 fen1 ming2,soeng2 fat6 fan1 ming4,fair with rewards and punishments (idiom)
趑車轉,趑车转,zi1 che1 zhuan3,zi1 ce1 zyun2,spinning around
趑車轉,趑车转,Zi1 che1 zhuan3,ci1 ce1 zyun3,round and round; round in circles; to run round in circles; to go back and forth
蹺妙,跷妙,qiao1 miao4,kiu2 miu6,ingenious [colloquial]
蹺妙,跷妙,qiao1 miao4,kiu2 miu6,(adjective) ingenious [colloquial]; nifty (noun) ingenuity; cleverness
軑,轪,dai4,daai6,wheel
軑,轪,dai4,daai6,wheel/the hood cover of the front axle
迾,迾,lie4,laat6,(Cant.) row / line
迾,迾,lie4,lit6,to line up to guard against
還可以,还可以,hai2 ke3 yi3,waan4 ho2 ji5,still okay; so-so (spoken)
還可以,还可以,hai2 ke3 yi3,waan4 ho2 ji5,it's alright;still can; it's just about okay; it's good enough; it's borderline acceptable; that will do
邊度,边度,bian1 du4,bin1 dou6,where
邊度,边度,bian1 du4,bin1 dou6,(pronoun) where
鋪頭,铺头,pu1 tou2,pou3 tau2,a shop lot
鋪頭,铺头,pu1 tou2,pou3 tau4,store; shop
閂門,闩门,shuan1 men2,saan1 mun4,to close the door; to close down (a shop)
閂門,闩门,shuan1 men2,saan1 mun4,to close the door
隊硬嘢,队硬嘢,dui4 ying4 ye3,deoi6 ngaang6 je5,a strong / hard core team
隊硬嘢,队硬嘢,dui4 ying4 ye3,deoi2 ngaang6 je5,to stomach / down something very strong [colloquial]
露械,露械,Lou4 xie4,lou6 haai2,act of male in showing his genitals in public; to flash (indecent exposure)
露械,露械,lu4 xie4,lou6 haai6,to show weapon
風俗習慣,风俗习惯,feng1 su2 xi2 guan4,fung1 zuk6 zaap6 gwaan3,culture and traditions
風俗習慣,风俗习惯,feng1 su2 xi2 guan4,fung1 zuk6 zaap6 gwaan3,manners and customs
風景區,风景区,feng1 jing3 qu1,fung1 ging2 keoi1,a scenic spot;a scenic area
風景區,风景区,feng1 jing3 qu1,fung1 ging2 keoi1,scenic area
食得㗎,食得㗎,shi2 de5 jia4,sik6 dak1 gaa4,Is it edible?
食得㗎,食得㗎,shi2 de5 jia4,sik6 dak1 gaa3,It's edible
食飯,食饭,shi2 fan4,sik6 faan6,to have dinner;to have a meal
食飯,食饭,shi2 fan4,sik6 faan6,to have a meal
食飽無憂米,食饱无忧米,shi2 bao3 wu2 you1 mi3,sik6 baau2 mou4 jau1 mai5,to live a comfortable life without much worries [colloquial]
食飽無憂米,食饱无忧米,shi2 bao3 wu1 you1 mi3,sik6 baau2 mou4 jau1 mai5,(to be full and need not worry for food); live a comfortable life and have nothing to worry about
香港特別行政區,香港特别行政区,Xiang1 gang3 Te4 bie2 Xing2 zheng4 qu1,hoeng1 gong2 dak6 bit6 hang4 zing3 keoi1,Hong Kong Special Administrative Region
香港特別行政區,香港特别行政区,Xiang1 gang3 Te4 bie2 Xing2 zheng4 qu1,hoeng1 gong2 dak6 bit6 hang4 zing3 keoi1,Hong Kong Special Administartive Region
驍勇,骁勇,xiao1 yong3,hiu1 jung5,courageous; brave
驍勇,骁勇,xiao1 yong3,hiu1 jung5,brave; valiant
鬱積,郁积,yu4 ji1,wat1 zik1,smouldering
鬱積,郁积,yu4 ji1,wat1 zik1,pent-up
黚,黚,qian2,kim4,a light yellowish black colour
黚,黚,qian2,kim4,a light yellowish -blackish colour
𠵿牌,𠵿牌,pi1 pai2,pe1 paai2,playing cards (啤牌)
𠵿牌,𠵿牌,𠵿 pai2,pe1 paai2,playing cards [colloquial]
𠸎埋,𠸎埋,na2 mai2,naa1 maai4,and [colloquial]
𠸎埋,𠸎埋,na2 mai2,naa1 maai4,and
𠺘,𠺘,lang4,long2,(Cant.) hard to get along with/unfriendly
𠺘,𠺘,lang3,long2,to rinse [colloquial]
𠺘,𠺘,lang4,long2,"to rinse, spread thin"
𠼮,𠼮,"",ngai1; ai1,to importune; to beg; to urge; to implore [colloquial]
𠼮,𠼮,"",ai1,"(Cant.) to urge, importune; a lie, fib"
𢺳,𪮳,"",maan1,"to push, pull, port the helm; (Cant.) to hold to, cling to; to cock a gun; to retrieve"
𢺳,𪮳,"",maan1,to hold onto (for support); to pull; to press; to turn; to retrieve; to recover; to win back [written and colloquial]
𦧲,𦧲,"",loe1,"(Cant.) to dribble, spit"
𦧲,𦧲,"",loe1,to spit [colloquial]
𦧲,𦧲,"",loe2,"to pester, nag"
𦧲,𦧲,"",loe2,to pester; to nag; to cling to [colloquial]
𧨾,𧨾,shan2,tam3,"(Cant.) to fool, trick, cheat, cajore, lure, sweet-talk, pacify someone who is angry"
𧨾,𧨾,shan2,tam,to trick; to cheat; to fool; to cajole; to lure; to sweet-talk [colloquial]
𨂾,𨂾,"",naam3,to step across; to stride over; the distance of one stride; alternate (day) [colloquial]
𨂾,𨂾,"",naam3,(Cant.) to step across/the distance of one stride/alternate (day)
